model_name,Unnamed: 0,wall_collisions,box_collisions,endless_loops,step_count,cumulative_reward,gamma,lr_dqn,target_update,optimizations_per_step,phosphene_resolution,complexity,edge_threshold,seed,light_intensity,Electrodes
exp1-nov2023_comp_complex-seed_0-mode_edge-detection-phos_10-edge_70,0,6,19,1,679,4827.0,0.9,0.001,50000,5,10,complex,70,0,1.0,100
exp1-nov2023_comp_complex-seed_0-mode_edge-detection-phos_18-edge_70,0,7,8,0,677,5167.0,0.9,0.001,50000,5,18,complex,70,0,1.0,324
exp1-nov2023_comp_complex-seed_0-mode_edge-detection-phos_26-edge_70,0,2,11,1,638,5120.0,0.9,0.001,50000,5,26,complex,70,0,1.0,676
exp1-nov2023_comp_complex-seed_0-mode_edge-detection-phos_34-edge_70,0,1,6,1,660,5295.0,0.9,0.001,50000,5,34,complex,70,0,1.0,1156
exp1-nov2023_comp_complex-seed_0-mode_edge-detection-phos_42-edge_70,0,2,4,0,639,5340.0,0.9,0.001,50000,5,42,complex,70,0,1.0,1764
exp1-nov2023_comp_complex-seed_0-mode_edge-detection-phos_5-edge_70,0,3,54,1,586,3890.0,0.9,0.001,50000,5,5,complex,70,0,1.0,25
exp1-nov2023_comp_complex-seed_0-mode_edge-detection-phos_50-edge_70,0,5,5,1,646,5261.0,0.9,0.001,50000,5,50,complex,70,0,1.0,2500
exp1-nov2023_comp_complex-seed_1-mode_edge-detection-phos_10-edge_70,0,2,13,0,691,5051.0,0.9,0.001,50000,5,10,complex,70,1,1.0,100
exp1-nov2023_comp_complex-seed_1-mode_edge-detection-phos_18-edge_70,0,0,6,0,633,5303.0,0.9,0.001,50000,5,18,complex,70,1,1.0,324
exp1-nov2023_comp_complex-seed_1-mode_edge-detection-phos_26-edge_70,0,1,10,2,658,5166.0,0.9,0.001,50000,5,26,complex,70,1,1.0,676
exp1-nov2023_comp_complex-seed_1-mode_edge-detection-phos_34-edge_70,0,5,9,1,650,5126.0,0.9,0.001,50000,5,34,complex,70,1,1.0,1156
exp1-nov2023_comp_complex-seed_1-mode_edge-detection-phos_42-edge_70,0,2,1,0,651,5407.0,0.9,0.001,50000,5,42,complex,70,1,1.0,1764
exp1-nov2023_comp_complex-seed_1-mode_edge-detection-phos_5-edge_70,0,0,60,0,562,3765.0,0.9,0.001,50000,5,5,complex,70,1,1.0,25
exp1-nov2023_comp_complex-seed_1-mode_edge-detection-phos_50-edge_70,0,3,1,0,649,5406.0,0.9,0.001,50000,5,50,complex,70,1,1.0,2500
exp1-nov2023_comp_complex-seed_2-mode_edge-detection-phos_10-edge_70,0,14,21,2,699,4646.0,0.9,0.001,50000,5,10,complex,70,2,1.0,100
exp1-nov2023_comp_complex-seed_2-mode_edge-detection-phos_18-edge_70,0,1,4,0,640,5353.0,0.9,0.001,50000,5,18,complex,70,2,1.0,324
exp1-nov2023_comp_complex-seed_2-mode_edge-detection-phos_26-edge_70,0,0,23,3,638,4799.0,0.9,0.001,50000,5,26,complex,70,2,1.0,676
exp1-nov2023_comp_complex-seed_2-mode_edge-detection-phos_34-edge_70,0,1,5,3,654,5298.0,0.9,0.001,50000,5,34,complex,70,2,1.0,1156
exp1-nov2023_comp_complex-seed_2-mode_edge-detection-phos_42-edge_70,0,5,1,0,658,5369.0,0.9,0.001,50000,5,42,complex,70,2,1.0,1764
exp1-nov2023_comp_complex-seed_2-mode_edge-detection-phos_5-edge_70,0,2,56,0,561,3858.0,0.9,0.001,50000,5,5,complex,70,2,1.0,25
exp1-nov2023_comp_complex-seed_2-mode_edge-detection-phos_50-edge_70,0,1,7,0,644,5270.0,0.9,0.001,50000,5,50,complex,70,2,1.0,2500
exp1-nov2023_comp_plain-seed_0-mode_edge-detection-phos_10-edge_70,0,1,2,0,656,5386.0,0.9,0.001,50000,5,10,plain,70,0,1.0,100
exp1-nov2023_comp_plain-seed_0-mode_edge-detection-phos_18-edge_70,0,2,0,0,666,5422.0,0.9,0.001,50000,5,18,plain,70,0,1.0,324
exp1-nov2023_comp_plain-seed_0-mode_edge-detection-phos_26-edge_70,0,2,3,0,664,5367.0,0.9,0.001,50000,5,26,plain,70,0,1.0,676
exp1-nov2023_comp_plain-seed_0-mode_edge-detection-phos_34-edge_70,0,3,0,0,659,5415.0,0.9,0.001,50000,5,34,plain,70,0,1.0,1156
exp1-nov2023_comp_plain-seed_0-mode_edge-detection-phos_42-edge_70,0,1,2,0,662,5380.0,0.9,0.001,50000,5,42,plain,70,0,1.0,1764
exp1-nov2023_comp_plain-seed_0-mode_edge-detection-phos_5-edge_70,0,0,67,0,556,3550.0,0.9,0.001,50000,5,2,plain,70,0,1.0,4
exp1-nov2023_comp_plain-seed_0-mode_edge-detection-phos_50-edge_70,0,0,2,1,656,5400.0,0.9,0.001,50000,5,50,plain,70,0,1.0,2500
exp1-nov2023_comp_plain-seed_1-mode_edge-detection-phos_10-edge_70,0,2,3,0,674,5346.0,0.9,0.001,50000,5,10,plain,70,1,1.0,100
exp1-nov2023_comp_plain-seed_1-mode_edge-detection-phos_18-edge_70,0,6,3,1,672,5292.0,0.9,0.001,50000,5,18,plain,70,1,1.0,324
exp1-nov2023_comp_plain-seed_1-mode_edge-detection-phos_26-edge_70,0,1,1,0,664,5419.0,0.9,0.001,50000,5,26,plain,70,1,1.0,676
exp1-nov2023_comp_plain-seed_1-mode_edge-detection-phos_34-edge_70,0,1,4,0,662,5353.0,0.9,0.001,50000,5,34,plain,70,1,1.0,1156
exp1-nov2023_comp_plain-seed_1-mode_edge-detection-phos_42-edge_70,0,5,1,1,667,5349.0,0.9,0.001,50000,5,42,plain,70,1,1.0,1764
exp1-nov2023_comp_plain-seed_1-mode_edge-detection-phos_5-edge_70,0,0,67,0,556,3550.0,0.9,0.001,50000,5,2,plain,70,1,1.0,4
exp1-nov2023_comp_plain-seed_2-mode_edge-detection-phos_10-edge_70,0,4,1,0,660,5370.0,0.9,0.001,50000,5,10,plain,70,2,1.0,100
exp1-nov2023_comp_plain-seed_2-mode_edge-detection-phos_18-edge_70,0,0,0,0,654,5462.0,0.9,0.001,50000,5,18,plain,70,2,1.0,324
exp1-nov2023_comp_plain-seed_2-mode_edge-detection-phos_26-edge_70,0,4,1,0,656,5374.0,0.9,0.001,50000,5,26,plain,70,2,1.0,676
exp1-nov2023_comp_plain-seed_2-mode_edge-detection-phos_34-edge_70,0,6,4,3,679,5244.0,0.9,0.001,50000,5,34,plain,70,2,1.0,1156
exp1-nov2023_comp_plain-seed_2-mode_edge-detection-phos_42-edge_70,0,4,0,0,654,5406.0,0.9,0.001,50000,5,42,plain,70,2,1.0,1764
exp1-nov2023_comp_plain-seed_2-mode_edge-detection-phos_5-edge_70,0,0,67,0,556,3550.0,0.9,0.001,50000,5,2,plain,70,2,1.0,4
exp1-nov2023_comp_plain-seed_2-mode_edge-detection-phos_50-edge_70,0,0,1,0,646,5440.0,0.9,0.001,50000,5,50,plain,70,2,1.0,2500
